record_id,title,release_date,director,studio,country,subgenre,runtime,mpaa_rating,budget_usd,box_office_usd,user_score,vote_count
3445,BATTLE ROYALE,14-02-2000,Kinji Fukasaku,Toei,Japan,Found Footage,105min,PG-13,"$1,500,000","$10,261,807",7.7,6543
3127,Evil Dead II,02-05-1987,Sam Raimi,De Laurentiis,U.S.A.,Comedy Horror,139,R,$35000000,"$148,908,651",5.8,78834
4946,X,9/12/2022,Ti West,A24,us,Splatter,,NC-17,"$20,000,000","$253,893,251",7.9,331089
2226,Deep Red,02/03/1975,Dario Argento,Rizzoli Film,ITALY,Supernatural,112 min,Not Rated,USD 10000000,$14234893,8.9,314050
2505,Alien,04/11/1979,Ridley Scott,20th Century Fox,UK,Occult|Creature Feature,116 min,G,$10000000,15461470,6.4,73094
5099,infinity pool,2023-11-16,Brandon Cronenberg,neon,Canada,Cosmic Horror,118,PG-13,"$35,000,000",$98151327,6.4,434104
5325,The Descent,05-03-2005,Neil Marshall,Pathe,U.K.,Splatter,73min,PG,1500000,$18020687,6.5,97705
1054,The Phantom of the Opera,1925-09-23,Rupert Julian,Universal Pictures,United States,Splatter|Haunted House,154,NC-17,$750000,,6.1,16381
2195,The Texas Chain Saw Massacre,11/10/1974,Tobe Hooper,Bryanston Pictures,us,Supernatural,1h 41m,PG-13,USD 3000000,$13374047,7.9,389770
3463,Session 9,04-06-2001,Brad Anderson,USA Films,USA,Comedy Horror,71,Not Rated,$3000000,USD 41390468,6.7,287159
4080,Let the Right One In,11/14/2008,Tomas Alfredson,Sandrew Metronome,Sweden,Occult,162,,"$50,000","249,436",5.9,303186
4469,The Wailing,02-03-2016,Na Hong-jin,20th Century Fox Korea,Korea,Found Footage,150,Not Rated,750000,6632236,7.6,19962
5031,Talk to Me,02/10/2022,Danny Philippou,a24,Australia,Psychological,122,NC-17,"$35,000,000",$386552466,7.5,114614
1213,Bride of Frankenstein,01/05/1935,James Whale,UNIVERSAL,USA,Giallo,83,PG-13,"$6,000,000",,8.0,198671
3796,Saw,01/23/2004,James Wan,Lions Gate,USA ,Occult,75min,Not Rated,$10000000,"$126,782,523",6.1,353766
1120,Freaks,05/18/1932,Tod Browning,MGM,USA ,Cosmic Horror,72 min,Unrated,"$6,000,000","$5,451,081",4.6,191122
3155,Tetsuo the Iron Man,1989/11/18,Shinya Tsukamoto,Kaijyu Theater,Japan,Vampire,2h 45m,,"$20,000,000",,6.4,251978
4998,Pearl,22-10-2022,Ti West,A24,USA,Cosmic Horror,144min,G,3000000,"36,671,785",7.5,331558
1798,The Birds,1963-03-21,Alfred Hitchcock,Universal,USA,Slasher|Psychological,1h 46m,PG-13,3000000,$34881029,5.2,295157
1409,creature from the black lagoon,04/13/1954,Jack Arnold,Universal Pictures,U.S.A.,Psychological|Cosmic Horror,80 min,PG,"$10,000,000","$131,198,528",4.7,424208
4121,Trick 'r Treat,09/21/2007,Michael Dougherty,Warner Bros.,us,Slasher,161min,R,"20,000,000",USD 87142789,5.1,232144
2531,Alien,1979-09-21,Ridley Scott,20th Century Fox,United Kingdom,Occult|Creature Feature,116,G,"10,000,000",15461470,6.4,26181
4629,It,11/19/2017,Andy Muschietti,warner bros.,us,Zombie|Giallo,89,NC-17,1500000,$1773625,5.8,199428
4787,  The Lighthouse ,2019/11/10,Robert Eggers,A24,us,Haunted House,126min,Unrated,300000,$2231378,8.3,33906
2277,Carrie,01-12-1976,Brian De Palma,United Artists,us,Body Horror,135,PG,$50000,417751,8.5,43969
2622,The Fog,12/24/1980,John Carpenter,Avco Embassy,U.S.A.,Vampire,102,NC-17,$1500000,USD 3085118,4.7,223575
2730,an american werewolf in london,1981-08-17,John Landis,Universal  ,U.K.,Cosmic Horror,1h 29m,Unrated,"$50,000","400,014",8.8,249816
4844,Parasite,08/18/2019,Bong Joon-ho,CJ Entertainment,South Korea,Folk Horror,81,G,1500000,"469,037",6.5,89466
2818,The Thing,1982/06/22,John Carpenter,Universal,USA,Folk Horror|Psychological,79,R,,21098115,,25249
1626,Psycho,1960/10/06,Alfred Hitchcock,Paramount,United States,Supernatural,2h 42m,PG-13,"120,000",$1526242,6.9,123725
4398,The Witch,2015/07/01,Robert Eggers,a24,USA ,Haunted House|Body Horror,93 min,PG,,"242,985,712",8.2,148265
4995,Barbarian,08/17/2022,Zach Cregger,20th Century Studios,USA,Cosmic Horror|Giallo,118,R,USD 3000000,"$12,536,957",7.6,299988
1343,The Uninvited,6/4/1944,Lewis Allen,Paramount Pictures,United States,Found Footage,2h 5m,Unrated,"50,000",,8.7,167559
3087,Hellraiser,1987-10-03,Clive Barker,New World Pictures,United Kingdom,Slasher,1h 38m,G,"$50,000","$269,251",6.8,463071
2528,  Alien ,1979/07/22,Ridley Scott,20th Century Fox,England,Occult|Creature Feature,116 min,G,"$10,000,000","$15,461,470",6.4,269010
4269,Oculus,07/13/2013,Mike Flanagan,Blumhouse Productions,USA ,Kaiju|Haunted House,154,NC-17,"120,000",1389242,5.5,81207
3113,Evil Dead II,09-02-1987,Sam Raimi,De Laurentiis,USA ,Comedy Horror,139 min,R,$35000000,"$148,908,651",5.8,389169
1635,psycho,19-05-1960,Alfred Hitchcock,paramount,United States,Supernatural,162,PG-13,,USD 1526242,6.9,132594
2175,Don't Look Now,1973/09/02,Nicolas Roeg,Casey Productions,UK,Zombie|Found Footage,121min,R,"$3,000,000","8,311,755",5.4,108997
2588,The Shining,1980-09-02,Stanley Kubrick,Warner Bros,USA,Psychological|Supernatural,151,Not Rated,"$750,000","$2,789,629",,127856
1983,Kill Baby Kill,1966/11/20,Mario Bava,FUL Films,Italy,Vampire,72 min,Unrated,$6000000,,6.1,412475
1593,House on Haunted Hill,1959-11-02,William Castle,Allied Artists,U.S.A.,Cosmic Horror,132,PG-13,"$300,000",4138573,6.0,172952
2790,Possession,1981/04/14,Andrzej Zulawski,Gaumont,France,Vampire,162min,R,"$35,000,000","$252,848,869",7.3,329714
2443,Halloween,7/10/1978,John Carpenter,Compass International,USA ,Supernatural,164 min,PG-13,10000000,129695880,6.8,236770
2376,Eraserhead,3/3/1977,David Lynch,Libra Films,United States,Zombie,149,PG-13,"$3,000,000","39,909,840",8.3,126519
2340,Suspiria,1977-02-26,Dario Argento,Seda Spettacoli,Italy,Occult,145,Unrated,"35,000,000","113,427,337",8.9,421897
3694,A Tale of Two Sisters,2003-05-10,Kim Jee-woon,Cineclick Asia,South Korea,Folk Horror,1h 37m,PG,"$3,000,000","26,985,529",9.2,100480
1014,NOSFERATU,07/20/1922,F.W. Murnau,Prana Film,Germany,Kaiju,,Unrated,"$35,000,000",$186704614,5.9,132759
3768,Shaun of the Dead,06-06-2004,Edgar Wright,Universal,U.K.,Cosmic Horror,74,PG-13,10000000,73150220,8.6,382500
3837,The Descent,2005-04-04,Neil Marshall,Pathe,United Kingdom,Splatter,73,PG,"$1,500,000","$18,020,687",6.5,411590
4910,Titane,12/20/2021,Julia Ducournau,Neon,France,Werewolf,98min,PG-13,"$20,000,000","$191,227,230",4.7,68076
3078,Hellraiser,09/04/1987,Clive Barker,New World Pictures,U.K.,Slasher,98 min,G,$50000,"269,251",6.8,336788
2228,Deep Red,26-10-1975,Dario Argento,Rizzoli Film,italy,Supernatural,112min,Not Rated,USD 10000000,14234893,8.9,17480
1528,The Curse of Frankenstein,4/22/1957,Terence Fisher,Hammer Films,England,Werewolf|Vampire,129,PG-13,$10000000,$139128163,6.5,139044
4124,Trick 'r Treat,2007-06-06,Michael Dougherty,WARNER BROS.,USA,Slasher,2h 41m,R,"20,000,000",87142789,5.1,392331
1756,The Innocents,17-11-1961,Jack Clayton,20th Century Fox,United Kingdom,Splatter,122,NC-17,1500000,$19063753,7.0,166422
1710,Eyes Without a Face,17-01-1960,Georges Franju,Champs-Elysees,france,Giallo,120,Unrated,"20,000,000","158,166,156",8.5,451607
4975,Barbarian,8/6/2022,Zach Cregger,20th Century Studios,United States,Cosmic Horror|Giallo,118min,R,"$3,000,000","$12,536,957",7.6,247710
3781,SAW,2/20/2004,James Wan,Lions Gate,USA ,Occult,75,Not Rated,,USD 126782523,6.1,194605
3876,Pan's Labyrinth,2006-06-16,Guillermo del Toro,Warner Bros. Pictures,Spain,Folk Horror,91 min,,"$300,000","$806,854",4.6,244757
1103,Frankenstein,1931-09-01,James Whale,universal,us,Supernatural|Slasher,117 min,NC-17,"$750,000",1599134,6.4,463602
2960,A Nightmare on Elm Street,1984/08/01,Wes Craven,New Line Cinema,USA,Werewolf,117,Not Rated,"$1,500,000","$10,311,433",5.9,230077
3932,Inside,1/15/2007,Alexandre Bustillo,La Fabrique de Films,France,Gothic,100 min,Unrated,"$35,000,000",435166860,8.3,74592
3062,The Fly,8/10/1986,David Cronenberg,20th Century Fox,United States,Cosmic Horror,1h 44m,R,"35,000,000","407,590,945",7.8,15922
4185,The Cabin in the Woods,2/22/2011,,Lionsgate,USA,Body Horror,107min,Not Rated,"$35,000,000",,7.4,401772
2065,  Witchfinder General ,24-08-1968,Michael Reeves,Tigon,United Kingdom,Giallo,153 min,Unrated,"$10,000,000",$136636027,8.5,103583
4099,Martyrs,03/26/2008,Pascal Laugier,Wild Bunch,France,Psychological,116 min,G,"20,000,000",$87265784,5.1,296520
3560,Pulse,12/07/2001,Kiyoshi Kurosawa,TOHO,JAPAN,Creature Feature|Body Horror,99,NC-17,USD 300000,190306,5.2,94551
1379,THE THING FROM ANOTHER WORLD,04-03-1951,,RKO Radio Pictures,U.S.A.,Giallo|Creature Feature,1h 21m,Unrated,$50000,"$36,116",8.5,119395
1916,Kwaidan,1964-01-26,Masaki Kobayashi,TOHO,JAPAN,Comedy Horror|Gothic,152,PG-13,,USD 403655,6.6,27533
2014,Rosemary's Baby,05-02-1968,Roman Polanski,Paramount,USA ,Giallo,137min,PG,,"$7,001,250",6.7,236241
2522,Alien,2/13/1979,Ridley Scott,20th Century Fox,UK,Occult|Creature Feature,1h 56m,G,"10,000,000",15461470,6.4,295999
2821,the thing,05-03-1982,,Universal Pictures,United States,Folk Horror|Psychological,79,,"3,000,000","$21,098,115",8.6,262060
3126,Evil Dead II,12/19/1987,Sam Raimi,De Laurentiis,USA ,Comedy Horror,139 min,R,$35000000,,5.8,367397
4060,Let the Right One In,04/23/2008,Tomas Alfredson,Sandrew Metronome,Sweden,Occult,,Unrated,,"249,436",5.9,226131
1861,Blood and Black Lace,1964/11/05,Mario Bava,Emmepi Cinematografica,italy,Gothic|Giallo,143min,NC-17,"$120,000","215,381",8.4,465442
5129,  Late Night with the Devil ,04/10/2023,Colin Cairnes,IFC Films,Australia,Psychological,70,NC-17,"6,000,000",44680381,8.2,112401
4358,Goodnight Mommy,13-01-2014,Veronika Franz,Ulrich Seidl Film,Austria,Giallo,75,G,"$300,000",USD 165609,6.1,452134
3255,CRONOS,09/12/1993,Guillermo del Toro,October Films,Mexico,Werewolf|Body Horror,71 min,R,"120,000",$200544,5.0,125251
2755,scanners,9/28/1981,David Cronenberg,Avco Embassy,CANADA,Found Footage,130,PG,$35000000,"325,820,643",8.9,349165
1051,The Phantom of the Opera,1925-12-05,Rupert Julian,Universal,USA ,Splatter|Haunted House,154min,NC-17,USD 750000,4135308,6.1,391600
4478,The Wailing,1/14/2016,Na Hong-jin,20th Century Fox Korea,S. Korea,Found Footage,150,Not Rated,$750000,,7.6,150830
4735,Us,5/28/2019,Jordan Peele,Universal Pictures,USA,Psychological,131 min,PG,,40925924,6.6,41784
1734,Peeping Tom,20-10-1960,Michael Powell,Anglo-Amalgamated,United Kingdom,Werewolf,96 min,PG,"$1,500,000",USD 16521182,8.0,47712
2460,Halloween,08-07-1978,John Carpenter,Compass International,USA,Supernatural,2h 44m,PG-13,$10000000,"$129,695,880",6.8,154277
2341,Suspiria,1977/03/14,Dario Argento,Seda Spettacoli,italy,Occult,145 min,Unrated,35000000,"$113,427,337",8.9,166616
1071,dracula,18-01-1931,Tod Browning,universal,United States,Found Footage,84,R,"$300,000",USD 471267,,289828
4923,  Malignant ,1/11/2021,James Wan,warner bros.,United States,Zombie,138 min,,50000,USD 583939,7.5,466786
5250,The Substance,2024/03/22,Coralie Fargeat,Mubi,France,Psychological,,NC-17,"50,000","$101,442",8.3,189250
2414,House,1/14/1977,Nobuhiko Obayashi,Toho Co.,Nippon,Creature Feature,157 min,Not Rated,"$120,000","385,505",8.3,120333
2542,zombie flesh eaters,8/8/1979,Lucio Fulci,Variety Film,ITALY,Vampire,142min,,"$20,000,000",$61567279,8.7,104510
2975,A Nightmare on Elm Street,01-06-1984,Wes Craven,New Line Cinema,U.S.A.,Werewolf,117,Not Rated,"$1,500,000",USD 10311433,5.9,412978
3605,28 Days Later,08/08/2002,Danny Boyle,Fox Searchlight,UK,Folk Horror,147min,R,6000000,25855318,8.7,178743
4512,Raw,12/15/2016,Julia Ducournau,Wild Bunch,France,Folk Horror|Cosmic Horror,156 min,R,"$300,000",2396256,8.5,153944
4344,It Follows,08-03-2014,David Robert Mitchell,Radius-TWC,United States,Found Footage,93min,,"1,500,000",$15379273,8.1,76687
1232,  The Wolf Man ,1941-05-26,George Waggner,universal,USA ,Psychological,2h 6m,Not Rated,"35,000,000","341,406,775",5.4,182747
2603,THE SHINING,1980-12-06,Stanley Kubrick,warner bros.,U.S.A.,Psychological|Supernatural,151,Not Rated,"$750,000","$2,789,629",6.8,11301
1778,Carnival of Souls,06/06/1962,Herk Harvey,Herts-Lion International,us,Body Horror,100,PG,"$20,000,000","22,553,699",8.7,254577
2933,Videodrome,11/6/1983,David Cronenberg,Universal,Canada,Supernatural,1h 10m,NC-17,35000000,391950781,7.4,423480
1520,The Curse of Frankenstein,1957/03/15,,hammer films,UK,Werewolf|Vampire,129,PG-13,USD 10000000,,6.5,25420
3384,The Blair Witch Project,12/05/1999,Daniel Myrick,Artisan Entertainment,U.S.A.,Splatter,118,Unrated,"300,000","$2,812,847",9.0,321831
5103,Infinity Pool,12/13/2023,,NEON,CANADA,Cosmic Horror,1h 58m,PG-13,"35,000,000",,,85074
4352,It Follows,09/09/2014,David Robert Mitchell,Radius-TWC,us,Found Footage,93,,"$1,500,000","$15,379,273",8.1,343622
4324,THE BABADOOK,13-04-2014,Jennifer Kent,Causeway Films,Australia,Found Footage|Zombie,86 min,Unrated,"6,000,000",,7.0,443702
2892,the beyond,11/4/1981,Lucio Fulci,Fulvia Film,italy,Gothic,160 min,Not Rated,"$3,000,000","32,305,279",7.1,301619
1400,House of Wax,13-09-1953,Andre de Toth,Warner Bros.,U.S.A.,Kaiju|Gothic,72 min,G,USD 10000000,"90,384,239",8.2,382182
4751,  Us ,6/28/2019,,Universal,us,Psychological,131 min,PG,$10000000,"40,925,924",6.6,218636
2875,The Beyond,10/05/1981,Lucio Fulci,Fulvia Film,italy,Gothic,2h 40m,Not Rated,"3,000,000","$32,305,279",,167995
3650,Dark Water,02-03-2002,Hideo Nakata,toho,JAPAN,Comedy Horror,157 min,R,$750000,$8030796,5.4,466862
4991,Barbarian,2022/12/01,Zach Cregger,20th Century Studios,us,Cosmic Horror|Giallo,118,R,"$3,000,000","$12,536,957",7.6,276733
2133,The Exorcist,1973-09-26,William Friedkin,WARNER BROS.,us,Haunted House|Vampire,105 min,PG,1500000,"$3,109,059",7.9,138044
1895,Onibaba,1964-11-11,Kaneto Shindo,Toho Co.,Japan,Supernatural|Found Footage,90min,PG,35000000,$254458145,6.4,33278
3199,Jacob's Ladder,13-05-1990,Adrian Lyne,TriStar Pictures,U.S.A.,Vampire,1h 47m,Not Rated,120000,USD 1088354,5.5,254820
1462,Godzilla,12/11/1954,Ishiro Honda,toho,Japan,Cosmic Horror,160,PG-13,6000000,"47,256,128",7.4,347875
3551,Pulse,2001/02/26,,toho,Nippon,Creature Feature|Body Horror,99 min,NC-17,"$300,000","190,306",5.2,330363
2990,Phenomena,21-12-1985,Dario Argento,DACFILM Rome,italy,Comedy Horror,130min,PG-13,6000000,9032401,9.1,104267
4383,Goodnight Mommy,05-05-2014,Veronika Franz,Ulrich Seidl Film,Austria,Giallo,75,,$300000,$165609,6.1,348565
3027,Re-Animator,19-07-1985,Stuart Gordon,Empire Pictures,United States,Body Horror,140,Unrated,120000,$1181119,9.0,61973
5161,THE SUBSTANCE,09-01-2024,,Mubi,france,Psychological,75,NC-17,"$50,000",$101442,8.3,221232
3232,Candyman,1992-02-19,Bernard Rose,TriStar Pictures,USA,Comedy Horror|Zombie,78 min,PG-13,USD 50000,"197,869",6.1,135191
4164,Insidious,13-08-2010,James Wan,Blumhouse Productions,us,Kaiju,2h 2m,Not Rated,$300000,"636,169",5.8,29251
4603,It,2017-01-05,Andy Muschietti,warner bros.,U.S.A.,Zombie|Giallo,89,NC-17,"$1,500,000","$1,773,625",5.8,423074
3754,Shaun of the Dead,03/24/2004,Edgar Wright,universal,United Kingdom,Cosmic Horror,1h 14m,PG-13,10000000,$73150220,8.6,212444
1198,bride of frankenstein,1935/09/25,James Whale,Universal Pictures,us,Giallo,83 min,PG-13,"6,000,000","69,360,250",8.0,455682
4065,Let the Right One In,2/23/2008,Tomas Alfredson,Sandrew Metronome,Sweden,Occult,162,Unrated,50000,"249,436",5.9,174996
5172,The Substance,06/02/2024,Coralie Fargeat,Mubi,FRANCE,Psychological,75,NC-17,,"$101,442",8.3,107312
3654,Dark Water,11/1/2002,Hideo Nakata,Toho,Nippon,Comedy Horror,2h 37m,,,8030796,5.4,179146
2855,Poltergeist,01/22/1982,Tobe Hooper,MGM,USA ,Cosmic Horror|Gothic,151,,10000000,77775922,9.0,161186
2814,The Thing,1982/04/07,John Carpenter,Universal,USA ,Folk Horror|Psychological,1h 19m,R,"3,000,000","21,098,115",8.6,234478
3583,28 Days Later,07/11/2002,Danny Boyle,Fox Searchlight,U.K.,Folk Horror,147,R,"6,000,000","25,855,318",8.7,462456
3104,Evil Dead II,07-06-1987,Sam Raimi,De Laurentiis,USA ,Comedy Horror,139,,"$35,000,000","148,908,651",5.8,344747
2149,The Exorcist,06/03/1973,William Friedkin,WARNER BROS.,USA,Haunted House|Vampire,105,PG,"$1,500,000",3109059,7.9,159628
3677,DARK WATER,2002/04/24,Hideo Nakata,toho,Nippon,Comedy Horror,,R,"$750,000","$8,030,796",5.4,109824
4977,Barbarian,2022/08/07,Zach Cregger,20th Century Studios,U.S.A.,Cosmic Horror|Giallo,118,R,"3,000,000","$12,536,957",,367406
4027,Paranormal Activity,2007-11-14,Oren Peli,Blumhouse Productions,United States,Giallo,73,R,"10,000,000",19874391,7.0,218094
2063,Witchfinder General,7/26/1968,Michael Reeves,Tigon,U.K.,Giallo,153 min,Unrated,"10,000,000","$136,636,027",8.5,111628
4145,Trick 'r Treat,13-04-2007,Michael Dougherty,Warner Bros,United States,Slasher,161,R,USD 20000000,"$87,142,789",5.1,210006
2694,The Evil Dead,1981-10-21,Sam Raimi,New Line,U.S.A.,Supernatural,114 min,NC-17,USD 50000,"$547,550",8.1,462847
3878,Pan's Labyrinth,7/9/2006,,Warner Bros. Pictures,Spain,Folk Horror,91min,,"$300,000",$806854,4.6,77860
2611,  The Shining ,1980/10/19,Stanley Kubrick,WARNER BROS.,USA,Psychological|Supernatural,151min,Not Rated,$750000,"$2,789,629",6.8,11329
5235,Nosferatu,09/13/2024,Robert Eggers,Focus Features,United States,Occult,135min,,$10000000,23048052,7.7,289238
3341,Audition,1999-09-17,,Omega Project,Nippon,Psychological|Occult,160 min,Unrated,$6000000,"$33,618,699",8.3,346826
3192,Jacob's Ladder,22-07-1990,Adrian Lyne,TriStar Pictures,USA,Vampire,,Not Rated,USD 120000,"$1,088,354",5.5,292054
1453,Godzilla,12/03/1954,Ishiro Honda,Toho Co.,JAPAN,Cosmic Horror,2h 40m,PG-13,6000000,"$47,256,128",7.4,80273
3268,Cronos,1993/12/20,Guillermo del Toro,October Films,Mexico,Werewolf|Body Horror,71,R,"$120,000",$200544,5.0,117128
5142,Late Night with the Devil,5/7/2023,Colin Cairnes,IFC Films,Australia,Psychological,70 min,NC-17,"$6,000,000",44680381,8.2,14000
4999,Pearl,23-01-2022,Ti West,A24,U.S.A.,Cosmic Horror,144 min,G,USD 3000000,"$36,671,785",7.5,464358
5117,When Evil Lurks,02/14/2023,Demian Rugna,Shudder,Argentina,Body Horror,146,,"750,000",$9856995,8.7,171144
4729,Suspiria,4/10/2018,Luca Guadagnino,Amazon Studios,italy,Folk Horror|Splatter,154,,"300,000",$3561660,8.6,470484
3492,The Devil's Backbone,6/14/2001,Guillermo del Toro,Warner Sogefilms,Spain,Gothic,117,PG-13,$750000,"$555,817",6.6,83365
3631,Ju-on The Grudge,02/08/2002,Takashi Shimizu,Toei,Japan,Slasher,113,Unrated,"$120,000","$547,265",5.4,49033
3665,Dark Water,2002/06/04,Hideo Nakata,Toho,JAPAN,Comedy Horror,157,R,"$750,000",,5.4,289748
1366,The Thing from Another World,1951/03/20,Christian Nyby,RKO Radio Pictures,us,Giallo|Creature Feature,1h 21m,Unrated,"$50,000","36,116",8.5,185680
2775,Scanners,1/8/1981,David Cronenberg,Avco Embassy,CANADA,Found Footage,2h 10m,PG,USD 35000000,$325820643,8.9,364176
5362,KWAIDAN,09/27/1964,Masaki Kobayashi,Toho Co.,Nippon,Comedy Horror|Gothic,152 min,,"50,000","403,655",6.6,305151
2377,Eraserhead,1977-04-18,David Lynch,Libra Films,USA,Zombie,149,PG-13,"3,000,000","39,909,840",8.3,105953
2174,Don't Look Now,2/27/1973,Nicolas Roeg,Casey Productions,England,Zombie|Found Footage,121,R,"$3,000,000","8,311,755",5.4,192928
5199,Longlegs,2024-01-09,Osgood Perkins,neon,U.S.A.,Gothic,160,,$10000000,,,156749
2213,  The Texas Chain Saw Massacre ,2/12/1974,Tobe Hooper,Bryanston Pictures,United States,Supernatural,101 min,PG-13,3000000,,7.9,474827
2224,Deep Red,1975/03/04,Dario Argento,Rizzoli Film,italy,Supernatural,112min,Not Rated,"$10,000,000",,8.9,435074
1156,The Mummy,5/18/1932,Karl Freund,universal,us,Vampire,140,Unrated,"$10,000,000",USD 46257698,5.7,373152
1428,Creature from the Black Lagoon,1954-02-21,Jack Arnold,Universal  ,United States,Psychological|Cosmic Horror,80min,PG,"10,000,000","131,198,528",4.7,155495
1246,The Wolf Man,1941-01-18,George Waggner,Universal Pictures,us,Psychological,126 min,Not Rated,"$35,000,000","$341,406,775",5.4,150730
5264,The Lighthouse,15-11-2019,Robert Eggers,A-24,us,Haunted House,126 min,Unrated,USD 300000,"$2,231,378",8.3,214960
2954,A Nightmare on Elm Street,1984-03-26,,New Line Cinema,United States,Werewolf,117,Not Rated,$1500000,"$10,311,433",5.9,371589
3350,Audition,11/19/1999,Takashi Miike,Omega Project,Japan,Psychological|Occult,160 min,Unrated,USD 6000000,$33618699,8.3,251265
4503,Train to Busan,12/14/2016,Yeon Sang-ho,Next Entertainment World,Korea,Giallo,165 min,Unrated,"1,500,000",18027397,6.7,104405
1591,House on Haunted Hill,1959-10-11,William Castle,Allied Artists,United States,Cosmic Horror,132,PG-13,300000,"4,138,573",6.0,82145
2834,The Thing,1982-10-24,John Carpenter,UNIVERSAL,United States,Folk Horror|Psychological,1h 19m,R,,,8.6,324754
4599,Get Out,3/20/2017,Jordan Peele,Blumhouse,USA,Comedy Horror,111,Unrated,"120,000","$1,256,432",7.9,446177
5327,The Others,04/15/2001,Alejandro Amenabar,Warner Bros.,Spain,Splatter,160 min,G,$10000000,"$55,008,994",8.7,200462
4365,Goodnight Mommy,03/27/2014,,Ulrich Seidl Film,Austria,Giallo,75 min,G,"300,000",$165609,6.1,314411
1661,Black Sunday,1960/02/08,Mario Bava,Galatea Film,ITALY,Supernatural|Psychological,113,NC-17,$50000,,,476107
3841,Wolf Creek,10/18/2005,Greg McLean,Roadshow,Australia,Vampire,110 min,G,"6,000,000",USD 46531729,7.5,185989
4051,Let the Right One In,2008-03-23,Tomas Alfredson,Sandrew Metronome,Sweden,Occult,162,Unrated,"$50,000",249436,,306571
4794,The Lighthouse,10/21/2019,Robert Eggers,A24,USA ,Haunted House,126,Unrated,USD 300000,"$2,231,378",8.3,215251
4461,The Wailing,10-02-2016,Na Hong-jin,20th Century Fox Korea,South Korea,Found Footage,150,Not Rated,750000,,7.6,257731
1155,The Mummy,1932-03-04,Karl Freund,Universal,USA ,Vampire,140 min,,10000000,"46,257,698",5.7,439255
3277,CRONOS,16-03-1993,Guillermo del Toro,October Films,Mexico,Werewolf|Body Horror,71,R,"120,000","200,544",5.0,314774
1311,I Walked with a Zombie,1/20/1943,Jacques Tourneur,RKO Radio Pictures,United States,Found Footage,144min,R,"300,000",USD 2896340,8.9,382491
2490,Dawn of the Dead,8/10/1978,George Romero,United Film Distribution,United States,Werewolf,135min,Unrated,10000000,$44664160,8.1,470788
1992,Kill Baby Kill,1966/05/28,Mario Bava,FUL Films,Italy,Vampire,72,Unrated,$6000000,$49406007,6.1,419311
2499,dawn of the dead,24-11-1978,George Romero,United Film Distribution,USA,Werewolf,135,Unrated,"10,000,000","44,664,160",8.1,295354
5332,The Birds,05-04-1963,Alfred Hitchcock,Universal  ,USA,Slasher|Psychological,,PG-13,"$3,000,000",USD 34881029,5.2,52640
1450,Godzilla,11/07/1954,Ishiro Honda,toho,Nippon,Cosmic Horror,,PG-13,6000000,"$47,256,128",7.4,269927
5313,onibaba,9/9/1964,,TOHO,JAPAN,Supernatural|Found Footage,90min,PG,35000000,"$254,458,145",6.4,181086
4475,The Wailing,02/18/2016,Na Hong-jin,20th Century Fox Korea,S. Korea,Found Footage,150min,Not Rated,"$750,000","$6,632,236",7.6,89846
3040,Re-Animator,5/3/1985,Stuart Gordon,Empire Pictures,U.S.A.,Body Horror,2h 20m,Unrated,"$120,000",1181119,9.0,190843
5253,Infinity Pool,7/17/2023,Brandon Cronenberg,Neon,CANADA,Cosmic Horror,118,PG-13,$35000000,"98,151,327",6.4,392669
5281,Oculus,05-07-2013,Mike Flanagan,BlumHouse,USA,Kaiju|Haunted House,154,NC-17,"120,000",$1389242,5.5,134678
4125,Trick 'r Treat,05/21/2007,Michael Dougherty,Warner Bros,U.S.A.,Slasher,,R,20000000,,5.1,47067
3775,  Saw ,2004/03/22,James Wan,Lions Gate,U.S.A.,Occult,75min,Not Rated,"$10,000,000","126,782,523",6.1,53279
1554,Horror of Dracula,1958-06-21,Terence Fisher,hammer films,UK,Found Footage,117,R,$10000000,99981464,8.6,227998
3141,Tetsuo the Iron Man,07-04-1989,Shinya Tsukamoto,Kaijyu Theater,Japan,Vampire,165 min,PG-13,USD 20000000,"255,667,125",6.4,184029
1026,Nosferatu,1922/06/22,F.W. Murnau,Prana Film,Germany,Kaiju,1h 36m,Unrated,"35,000,000",,5.9,223257
1880,Onibaba,1964-10-13,Kaneto Shindo,TOHO,JAPAN,Supernatural|Found Footage,90,PG,"$35,000,000",$254458145,6.4,71314
4386,The Witch,2015/05/24,Robert Eggers,A-24,U.S.A.,Haunted House|Body Horror,,PG,"$35,000,000",242985712,8.2,239631
3668,  Dark Water ,2002/09/27,Hideo Nakata,Toho Co.,JAPAN,Comedy Horror,157 min,R,750000,8030796,5.4,4140
1584,The Blob,12-09-1958,Irvin Yeaworth,Paramount Pictures,USA ,Supernatural,98 min,NC-17,,"$20,452,945",6.0,415377
4955,X,9/14/2022,Ti West,A24,us,Splatter,126,NC-17,"$20,000,000","$253,893,251",7.9,349974
2468,Halloween,18-10-1978,John Carpenter,Compass International,us,Supernatural,164,,,129695880,,151877
3138,Tetsuo the Iron Man,11/18/1989,Shinya Tsukamoto,Kaijyu Theater,JAPAN,Vampire,165 min,PG-13,"$20,000,000",255667125,6.4,5838
2202,  The Texas Chain Saw Massacre ,7/12/1974,Tobe Hooper,Bryanston Pictures,USA,Supernatural,101,PG-13,USD 3000000,,7.9,388685
